| Token Type               | Value       |   Line Number |
| CURLY_BRACKET_CLOSE      | }           |            41 |
| CURLY_BRACKET_CLOSE      | }           |            42 |
| ACCESS_MODIFIER          | public      |            45 |
| CLASS                    | class       |            45 |
| IDENTIFIER               | A           |            45 |
| INHERITS                 | inherits    |            45 |
| IDENTIFIER               | C           |            45 |
| CURLY_BRACKET_OPEN       | {           |            45 |
| CONSTRUCTOR              | constructor |            46 |
| ROUND_BRACKET_OPEN       | (           |            46 |
| DATA_TYPE                | int         |            46 |
| IDENTIFIER               | foo         |            46 |
| ROUND_BRACKET_CLOSE      | )           |            46 |
| CURLY_BRACKET_OPEN       | {           |            46 |
| CURLY_BRACKET_CLOSE      | }           |            47 |
| MAIN                     | mainEntry   |            48 |
| ROUND_BRACKET_OPEN       | (           |            48 |
| ROUND_BRACKET_CLOSE      | )           |            48 |
| CURLY_BRACKET_OPEN       | {           |            48 |
| DECLARE                  | declare     |            49 |
| DATA_TYPE                | float       |            49 |
| IDENTIFIER               | a           |            49 |
| ASSIGNMENT_OPERATOR      | =           |            49 |
| IDENTIFIER               | C           |            49 |
| DOT                      | .           |            49 |
| IDENTIFIER               | myStatic    |            49 |
| SEMICOLON                | ;           |            49 |
| IDENTIFIER               | C           |            50 |
| DOT                      | .           |            50 |
| IDENTIFIER               | myStatic    |            50 |
| ASSIGNMENT_OPERATOR      | =           |            50 |
| FLOAT_LITERAL            | 2.0         |            50 |
| SEMICOLON                | ;           |            50 |
| DECLARE                  | declare     |            51 |
| DATA_TYPE                | float       |            51 |
| IDENTIFIER               | b           |            51 |
| ASSIGNMENT_OPERATOR      | =           |            51 |
| IDENTIFIER               | a           |            51 |
| PLUS_MINUS               | +           |            51 |
| INTEGER_LITERAL          | 2           |            51 |
| SEMICOLON                | ;           |            51 |
| DECLARE                  | declare     |            52 |
| IDENTIFIER               | C           |            52 |
| POINTER_MULTIPLY         | *           |            52 |
| IDENTIFIER               | c           |            52 |
| SEMICOLON                | ;           |            52 |
| DECLARE                  | declare     |            53 |
| DATA_TYPE                | float       |            53 |
| IDENTIFIER               | D           |            53 |
| ASSIGNMENT_OPERATOR      | =           |            53 |
| IDENTIFIER               | c           |            53 |
| ARROW                    | ->          |            53 |
| IDENTIFIER               | num         |            53 |
| PLUS_MINUS               | +           |            53 |
| IDENTIFIER               | b           |            53 |
| PLUS_MINUS               | +           |            53 |
| IDENTIFIER               | c           |            53 |
| ARROW                    | ->          |            53 |
| IDENTIFIER               | myFunc      |            53 |
| ROUND_BRACKET_OPEN       | (           |            53 |
| ROUND_BRACKET_CLOSE      | )           |            53 |
| DOT                      | .           |            53 |
| IDENTIFIER               | myVar       |            53 |
| PLUS_MINUS               | +           |            53 |
| IDENTIFIER               | c           |            53 |
| ARROW                    | ->          |            53 |
| IDENTIFIER               | arr         |            53 |
| SQUARE_BRACKET_OPEN      | [           |            53 |
| INTEGER_LITERAL          | 0           |            53 |
| SQUARE_BRACKET_CLOSE     | ]           |            53 |
| SEMICOLON                | ;           |            53 |
| IDENTIFIER               | a           |            54 |
| COMP_ASSIGNMENT_OPERATOR | +=          |            54 |
| INTEGER_LITERAL          | 2           |            54 |
| SEMICOLON                | ;           |            54 |
| DECLARE                  | declare     |            55 |
| DATA_TYPE                | string      |            55 |
| IDENTIFIER               | text        |            55 |
| ASSIGNMENT_OPERATOR      | =           |            55 |
| STRING_LITERAL           | Hello       |            55 |
| SEMICOLON                | ;           |            55 |
| IDENTIFIER               | text        |            56 |
| COMP_ASSIGNMENT_OPERATOR | +=          |            56 |
| STRING_LITERAL           | World       |            56 |
| SEMICOLON                | ;           |            56 |
| POINTER_MULTIPLY         | *           |            57 |
| IDENTIFIER               | c           |            57 |
| ASSIGNMENT_OPERATOR      | =           |            57 |
| OBJ_CREATOR              | makeObj     |            57 |
| IDENTIFIER               | C           |            57 |
| ROUND_BRACKET_OPEN       | (           |            57 |
| INTEGER_LITERAL          | 1           |            57 |
| ROUND_BRACKET_CLOSE      | )           |            57 |
| SEMICOLON                | ;           |            57 |
| DECLARE                  | declare     |            58 |
| IDENTIFIER               | C           |            58 |
| POINTER_MULTIPLY         | *           |            58 |
| IDENTIFIER               | obj4        |            58 |
| SEMICOLON                | ;           |            58 |
| DECLARE                  | declare     |            59 |
| IDENTIFIER               | C           |            59 |
| IDENTIFIER               | c2          |            59 |
| SEMICOLON                | ;           |            59 |
| IDENTIFIER               | obj4        |            60 |
| ASSIGNMENT_OPERATOR      | =           |            60 |
| IDENTIFIER               | c           |            60 |
| SEMICOLON                | ;           |            60 |
| DECLARE                  | declare     |            62 |
| DATA_TYPE                | int         |            62 |
| SQUARE_BRACKET_OPEN      | [           |            62 |
| SQUARE_BRACKET_CLOSE     | ]           |            62 |
| SQUARE_BRACKET_OPEN      | [           |            62 |
| SQUARE_BRACKET_CLOSE     | ]           |            62 |
| IDENTIFIER               | arr2        |            62 |
| ASSIGNMENT_OPERATOR      | =           |            62 |
| SQUARE_BRACKET_OPEN      | [           |            62 |
| SQUARE_BRACKET_OPEN      | [           |            62 |
| INTEGER_LITERAL          | 1           |            62 |
| COMMA                    | ,           |            62 |
| INTEGER_LITERAL          | 1           |            62 |
| SQUARE_BRACKET_CLOSE     | ]           |            62 |
| COMMA                    | ,           |            62 |
| SQUARE_BRACKET_OPEN      | [           |            62 |
| INTEGER_LITERAL          | 2           |            62 |
| COMMA                    | ,           |            62 |
| INTEGER_LITERAL          | 2           |            62 |
| SQUARE_BRACKET_CLOSE     | ]           |            62 |
| COMMA                    | ,           |            62 |
| SQUARE_BRACKET_OPEN      | [           |            62 |
| INTEGER_LITERAL          | 3           |            62 |
| COMMA                    | ,           |            62 |
| INTEGER_LITERAL          | 3           |            62 |
| SQUARE_BRACKET_CLOSE     | ]           |            62 |
| SQUARE_BRACKET_CLOSE     | ]           |            62 |
| SEMICOLON                | ;           |            62 |
| DECLARE                  | declare     |            63 |
| IDENTIFIER               | C           |            63 |
| IDENTIFIER               | obj12       |            63 |
| ASSIGNMENT_OPERATOR      | =           |            63 |
